#FOR THE FULL HISTORICAL DATA VISIT : https://ork.ad
time,open,high,low,close,volume
2024-07-04,18105.36,18133.93,17926.91,18028.44,73671
2024-07-05,18028.44,18093.83,17583,17712.29,95792
2024-07-08,17712.29,17712.88,17422.36,17482.87,84231
2024-07-09,17482.87,17616.42,17355.39,17593.42,100187
2024-07-10,17593.42,17763.17,17431.6,17569.2,87709
2024-07-11,17569.2,17999.22,17569.2,17938.72,104476
2024-07-12,17938.72,18382.23,17938.72,18233.73,102178
2024-07-15,18233.73,18233.73,17802.16,17839.67,94313
2024-07-16,17839.67,17880.08,17618.05,17811.55,107286
2024-07-17,17811.55,17812.9,17623.9,17656.88,113443
2024-07-18,17656.88,17861.17,17545.13,17554.13,119413
2024-07-19,17554.13,17611.94,17348.89,17421.9,107031
2024-07-22,17421.9,17749.68,17296.15,17716.68,104000
2024-07-23,17716.68,17721.25,17389.71,17459.24,89259
2024-07-24,17459.24,17513.61,17215.6,17234.58,109650
2024-07-25,17234.58,17291.57,16960.52,17071.55,137987
2024-07-26,17071.55,17219.44,16916.42,17119.93,129905
2024-07-29,17119.93,17373.93,17119.93,17207.4,120582
2024-07-30,17207.4,17207.4,16955.05,17018.05,114341
2024-07-31,17018.05,17419.17,17001.62,17351.66,137948
2024-08-01,17351.66,17402.06,17009.5,17018,134031
2024-08-02,17018,17056.39,16800.86,16882.9,167583
2024-08-05,16882.9,16942.57,16423.51,16764.54,290297
2024-08-06,16764.54,16916.4,16489.86,16683.9,177165
2024-08-07,16683.9,16992.85,16623.29,16729.82,160109
2024-08-08,16729.82,17145.72,16640,17139.72,162256
2024-08-09,17139.72,17257,16967.49,17053.48,135480
2024-08-12,17053.48,17183.2,16993.66,17144.17,110283
2024-08-13,17144.17,17289.18,17062.17,17289.18,101024
2024-08-14,17289.18,17289.18,16944.83,17010.34,104525
2024-08-15,17010.34,17322,16903.97,17293.02,125652
2024-08-16,17293.02,17583.09,17250.54,17565.57,104260
2024-08-19,17565.57,17766.63,17538.6,17736.12,95713
2024-08-20,17736.12,17736.12,17315.95,17353.48,89162
2024-08-21,17353.48,17524.17,17247.14,17512.69,102571
2024-08-22,17512.69,17671.51,17386.96,17480.47,107365
2024-08-23,17480.47,17783.91,17469.86,17724.88,109237
2024-08-26,17724.88,17843.07,17629.55,17691.55,93725
2024-08-27,17691.55,17930.08,17630.54,17865.58,87312
2024-08-28,17865.58,17900.88,17574.87,17647.87,88392
2024-08-29,17647.87,17853.76,17503.71,17800.74,103885
2024-08-30,17800.74,18220.85,17770.81,17853.32,115821
2024-09-02,17853.32,17853.32,17626.31,17713.82,76796
2024-09-03,17713.82,17722.93,17485.93,17520.43,96704
2024-09-04,17520.43,17564.19,17315.15,17486.16,107532
2024-09-05,17486.16,17556.32,17322.29,17444.29,65142
2024-09-09,17444.29,17444.29,17072.49,17233,97977
2024-09-10,17233,17295.5,17020.48,17080.5,101983
2024-09-11,17080.5,17223.17,16946.14,17197.17,116136
2024-09-12,17197.17,17333.78,17113.26,17274.8,97716
2024-09-13,17274.8,17548.5,17236.4,17326.94,88101
2024-09-16,17326.94,17452.6,17168.05,17406.09,68584
2024-09-17,17406.09,17724.5,17375.45,17640.47,79022
2024-09-19,17640.47,18231.11,17585.6,18165.1,127872
2024-09-20,18165.1,18365.15,18035.1,18187.1,114519
2024-09-23,18187.1,18528.97,18187.1,18455.48,113394
2024-09-24,18455.48,19759.53,18455.48,19755.02,182971
2024-09-25,19755.02,19755.02,19081.1,19332.12,183480
2024-09-26,19332.12,20682.83,19166.67,20571.31,208585
2024-09-27,20571.31,20989.5,20281.9,20835.5,325290
2024-09-30,20835.5,21517.98,20634.39,20685.41,360757
2024-10-02,20685.41,22803.6,20685.41,22377.02,364335
2024-10-03,22377.02,22640.3,21468.69,22037.24,289303
2024-10-04,22037.24,22826.42,21817.8,22576.88,247968
2024-10-07,22576.88,23276.71,22576.88,23121.68,214730
2024-10-08,23121.68,23121.68,20596.41,20907.93,398382
2024-10-09,20907.93,21430.03,20197.89,21031.49,347025
2024-10-10,21031.49,21610.15,20958.09,21237.1,247887
2024-10-14,21237.1,21391.23,20689.65,21073.7,216365
2024-10-15,21073.7,21114.09,20061.98,20068.48,226624
2024-10-16,20068.48,20565,20068.48,20448.45,190413
2024-10-17,20448.45,20777.61,19837.02,19942.51,187942
2024-10-18,19942.51,20951.27,19942.51,20759.24,253509
2024-10-21,20759.24,20844.25,20259.21,20373.22,196052
2024-10-22,20373.22,20726.42,20317.87,20605.89,156201
2024-10-23,20605.89,20934.81,20436.26,20498.76,150990
2024-10-24,20498.76,20677.48,20269.4,20397.43,119208
2024-10-25,20397.43,20774.02,20397.43,20508.51,137963
2024-10-28,20508.51,20801.93,20405.89,20732.42,120674
2024-10-29,20732.42,21108.64,20545.09,20739.1,136240
2024-10-30,20739.1,20752.17,20264.64,20491.66,141142
2024-10-31,20491.66,20576.35,20205.8,20414.31,157235
2024-11-01,20414.31,20689.2,20361.1,20473.64,153752
2024-11-04,20473.64,20738.71,20437.68,20545.71,115339
2024-11-05,20545.71,21046.2,20359.62,20944.67,153742
2024-11-06,20944.67,20944.67,20204.81,20503.33,203989
2024-11-07,20503.33,21319.05,20328.4,21262.55,175982
2024-11-08,21262.55,21350.05,20155.9,20244.94,204610
2024-11-11,20244.94,20492.28,20134.75,20295.25,155090
2024-11-12,20295.25,20522.87,19544.76,19619.3,176741
2024-11-13,19619.3,19954.96,19565.42,19584.44,152524
2024-11-14,19584.44,19836.55,19338.49,19445.52,142678
2024-11-15,19445.52,19606.42,19318.89,19437.9,137454
2024-11-18,19437.9,19777.64,19437.9,19745.61,136959
2024-11-19,19745.61,19771.94,19396.91,19599.41,122686
2024-11-20,19599.41,19762.19,19568.65,19601.17,94086
2024-11-21,19601.17,19771.4,19479.8,19588.37,99580
2024-11-22,19588.37,19710.79,19028.22,19191.24,128179
2024-11-25,19191.24,19375.97,19102.93,19244.43,112537
